"parentHeight" "childHeight" "parentGender" "childGender"
63.5 65.5 "Father" "Son"
63.5 65.5 "Father" "Son"
63.5 65.5 "Father" "Son"
63.5 65.5 "Father" "Son"
63.5 65.5 "Father" "Son"
63.5 65.5 "Father" "Son"
63.5 65.5 "Father" "Son"
64.5 65.5 "Father" "Son"
64.5 65.5 "Father" "Son"
64.5 65.5 "Father" "Son"
64.5 65.5 "Father" "Son"
64.5 65.5 "Father" "Son"
64.5 65.5 "Father" "Son"
64.5 65.5 "Father" "Son"
64.5 65.5 "Father" "Son"
64.5 65.5 "Father" "Son"
64.5 65.5 "Father" "Son"
65.5 65.5 "Father" "Son"
65.5 65.5 "Father" "Son"
65.5 65.5 "Father" "Son"
65.5 65.5 "Father" "Son"
65.5 65.5 "Father" "Son"
65.5 65.5 "Father" "Son"
65.5 65.5 "Father" "Son"
65.5 65.5 "Father" "Son"
65.5 65.5 "Father" "Son"
65.5 65.5 "Father" "Son"
65.5 65.5 "Father" "Son"
65.5 65.5 "Father" "Son"
65.5 65.5 "Father" "Son"
65.5 65.5 "Father" "Son"
65.5 65.5 "Father" "Son"
65.5 65.5 "Father" "Son"
65.5 65.5 "Father" "Son"
66.5 65.5 "Father" "Son"
66.5 65.5 "Father" "Son"
66.5 65.5 "Father" "Son"
66.5 65.5 "Father" "Son"
66.5 65.5 "Father" "Son"
66.5 65.5 "Father" "Son"
66.5 65.5 "Father" "Son"
66.5 65.5 "Father" "Son"
66.5 65.5 "Father" "Son"
66.5 65.5 "Father" "Son"
66.5 65.5 "Father" "Son"
66.5 65.5 "Father" "Son"
66.5 65.5 "Father" "Son"
66.5 65.5 "Father" "Son"
66.5 65.5 "Father" "Son"
66.5 65.5 "Father" "Son"
66.5 65.5 "Father" "Son"
66.5 65.5 "Father" "Son"
67.5 65.5 "Father" "Son"
67.5 65.5 "Father" "Son"
67.5 65.5 "Father" "Son"
67.5 65.5 "Father" "Son"
67.5 65.5 "Father" "Son"
67.5 65.5 "Father" "Son"
67.5 65.5 "Father" "Son"
67.5 65.5 "Father" "Son"
67.5 65.5 "Father" "Son"
67.5 65.5 "Father" "Son"
67.5 65.5 "Father" "Son"
67.5 65.5 "Father" "Son"
67.5 65.5 "Father" "Son"
67.5 65.5 "Father" "Son"
67.5 65.5 "Father" "Son"
67.5 65.5 "Father" "Son"
68.5 65.5 "Father" "Son"
68.5 65.5 "Father" "Son"
68.5 65.5 "Father" "Son"
68.5 65.5 "Father" "Son"
68.5 65.5 "Father" "Son"
69.5 65.5 "Father" "Son"
69.5 65.5 "Father" "Son"
70.5 65.5 "Father" "Son"
70.5 65.5 "Father" "Son"
70.5 65.5 "Father" "Son"
71.5 65.5 "Father" "Son"
59.5 66.5 "Father" "Son"
59.5 66.5 "Father" "Son"
60.5 66.5 "Father" "Son"
60.5 66.5 "Father" "Son"
61.5 66.5 "Father" "Son"
61.5 66.5 "Father" "Son"
61.5 66.5 "Father" "Son"
61.5 66.5 "Father" "Son"
61.5 66.5 "Father" "Son"
62.5 66.5 "Father" "Son"
62.5 66.5 "Father" "Son"
62.5 66.5 "Father" "Son"
62.5 66.5 "Father" "Son"
63.5 66.5 "Father" "Son"
63.5 66.5 "Father" "Son"
63.5 66.5 "Father" "Son"
63.5 66.5 "Father" "Son"
63.5 66.5 "Father" "Son"
63.5 66.5 "Father" "Son"
63.5 66.5 "Father" "Son"
63.5 66.5 "Father" "Son"
63.5 66.5 "Father" "Son"
63.5 66.5 "Father" "Son"
63.5 66.5 "Father" "Son"
63.5 66.5 "Father" "Son"
63.5 66.5 "Father" "Son"
63.5 66.5 "Father" "Son"
64.5 66.5 "Father" "Son"
64.5 66.5 "Father" "Son"
64.5 66.5 "Father" "Son"
64.5 66.5 "Father" "Son"
64.5 66.5 "Father" "Son"
64.5 66.5 "Father" "Son"
64.5 66.5 "Father" "Son"
64.5 66.5 "Father" "Son"
64.5 66.5 "Father" "Son"
64.5 66.5 "Father" "Son"
64.5 66.5 "Father" "Son"
64.5 66.5 "Father" "Son"
64.5 66.5 "Father" "Son"
64.5 66.5 "Father" "Son"
64.5 66.5 "Father" "Son"
64.5 66.5 "Father" "Son"
64.5 66.5 "Father" "Son"
64.5 66.5 "Father" "Son"
64.5 66.5 "Father" "Son"
64.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
65.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
66.5 66.5 "Father" "Son"
67.5 66.5 "Father" "Son"
67.5 66.5 "Father" "Son"
67.5 66.5 "Father" "Son"
67.5 66.5 "Father" "Son"
67.5 66.5 "Father" "Son"
67.5 66.5 "Father" "Son"
67.5 66.5 "Father" "Son"
67.5 66.5 "Father" "Son"
67.5 66.5 "Father" "Son"
67.5 66.5 "Father" "Son"
67.5 66.5 "Father" "Son"
67.5 66.5 "Father" "Son"
67.5 66.5 "Father" "Son"
67.5 66.5 "Father" "Son"
67.5 66.5 "Father" "Son"
67.5 66.5 "Father" "Son"
67.5 66.5 "Father" "Son"
67.5 66.5 "Father" "Son"
67.5 66.5 "Father" "Son"
68.5 66.5 "Father" "Son"
68.5 66.5 "Father" "Son"
68.5 66.5 "Father" "Son"
68.5 66.5 "Father" "Son"
68.5 66.5 "Father" "Son"
68.5 66.5 "Father" "Son"
68.5 66.5 "Father" "Son"
68.5 66.5 "Father" "Son"
68.5 66.5 "Father" "Son"
68.5 66.5 "Father" "Son"
68.5 66.5 "Father" "Son"
68.5 66.5 "Father" "Son"
68.5 66.5 "Father" "Son"
69.5 66.5 "Father" "Son"
69.5 66.5 "Father" "Son"
69.5 66.5 "Father" "Son"
69.5 66.5 "Father" "Son"
69.5 66.5 "Father" "Son"
69.5 66.5 "Father" "Son"
69.5 66.5 "Father" "Son"
69.5 66.5 "Father" "Son"
69.5 66.5 "Father" "Son"
69.5 66.5 "Father" "Son"
69.5 66.5 "Father" "Son"
69.5 66.5 "Father" "Son"
69.5 66.5 "Father" "Son"
69.5 66.5 "Father" "Son"
70.5 66.5 "Father" "Son"
70.5 66.5 "Father" "Son"
70.5 66.5 "Father" "Son"
71.5 66.5 "Father" "Son"
72.5 66.5 "Father" "Son"
60.5 67.5 "Father" "Son"
60.5 67.5 "Father" "Son"
61.5 67.5 "Father" "Son"
61.5 67.5 "Father" "Son"
62.5 67.5 "Father" "Son"
62.5 67.5 "Father" "Son"
62.5 67.5 "Father" "Son"
62.5 67.5 "Father" "Son"
62.5 67.5 "Father" "Son"
62.5 67.5 "Father" "Son"
62.5 67.5 "Father" "Son"
62.5 67.5 "Father" "Son"
63.5 67.5 "Father" "Son"
63.5 67.5 "Father" "Son"
63.5 67.5 "Father" "Son"
63.5 67.5 "Father" "Son"
63.5 67.5 "Father" "Son"
63.5 67.5 "Father" "Son"
63.5 67.5 "Father" "Son"
63.5 67.5 "Father" "Son"
63.5 67.5 "Father" "Son"
63.5 67.5 "Father" "Son"
64.5 67.5 "Father" "Son"
64.5 67.5 "Father" "Son"
64.5 67.5 "Father" "Son"
64.5 67.5 "Father" "Son"
64.5 67.5 "Father" "Son"
64.5 67.5 "Father" "Son"
64.5 67.5 "Father" "Son"
64.5 67.5 "Father" "Son"
64.5 67.5 "Father" "Son"
64.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
65.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
66.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
67.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
68.5 67.5 "Father" "Son"
69.5 67.5 "Father" "Son"
69.5 67.5 "Father" "Son"
69.5 67.5 "Father" "Son"
69.5 67.5 "Father" "Son"
69.5 67.5 "Father" "Son"
69.5 67.5 "Father" "Son"
69.5 67.5 "Father" "Son"
69.5 67.5 "Father" "Son"
69.5 67.5 "Father" "Son"
69.5 67.5 "Father" "Son"
69.5 67.5 "Father" "Son"
69.5 67.5 "Father" "Son"
69.5 67.5 "Father" "Son"
70.5 67.5 "Father" "Son"
70.5 67.5 "Father" "Son"
70.5 67.5 "Father" "Son"
70.5 67.5 "Father" "Son"
70.5 67.5 "Father" "Son"
70.5 67.5 "Father" "Son"
70.5 67.5 "Father" "Son"
70.5 67.5 "Father" "Son"
71.5 67.5 "Father" "Son"
71.5 67.5 "Father" "Son"
71.5 67.5 "Father" "Son"
71.5 67.5 "Father" "Son"
71.5 67.5 "Father" "Son"
71.5 67.5 "Father" "Son"
71.5 67.5 "Father" "Son"
71.5 67.5 "Father" "Son"
71.5 67.5 "Father" "Son"
71.5 67.5 "Father" "Son"
72.5 67.5 "Father" "Son"
72.5 67.5 "Father" "Son"
60.5 68.5 "Father" "Son"
62.5 68.5 "Father" "Son"
62.5 68.5 "Father" "Son"
62.5 68.5 "Father" "Son"
62.5 68.5 "Father" "Son"
62.5 68.5 "Father" "Son"
63.5 68.5 "Father" "Son"
63.5 68.5 "Father" "Son"
63.5 68.5 "Father" "Son"
63.5 68.5 "Father" "Son"
63.5 68.5 "Father" "Son"
64.5 68.5 "Father" "Son"
64.5 68.5 "Father" "Son"
64.5 68.5 "Father" "Son"
64.5 68.5 "Father" "Son"
64.5 68.5 "Father" "Son"
64.5 68.5 "Father" "Son"
64.5 68.5 "Father" "Son"
64.5 68.5 "Father" "Son"
64.5 68.5 "Father" "Son"
64.5 68.5 "Father" "Son"
64.5 68.5 "Father" "Son"
64.5 68.5 "Father" "Son"
64.5 68.5 "Father" "Son"
65.5 68.5 "Father" "Son"
65.5 68.5 "Father" "Son"
65.5 68.5 "Father" "Son"
65.5 68.5 "Father" "Son"
65.5 68.5 "Father" "Son"
65.5 68.5 "Father" "Son"
65.5 68.5 "Father" "Son"
65.5 68.5 "Father" "Son"
65.5 68.5 "Father" "Son"
65.5 68.5 "Father" "Son"
65.5 68.5 "Father" "Son"
65.5 68.5 "Father" "Son"
65.5 68.5 "Father" "Son"
65.5 68.5 "Father" "Son"
65.5 68.5 "Father" "Son"
65.5 68.5 "Father" "Son"
65.5 68.5 "Father" "Son"
65.5 68.5 "Father" "Son"
66.5 68.5 "Father" "Son"
66.5 68.5 "Father" "Son"
66.5 68.5 "Father" "Son"
66.5 68.5 "Father" "Son"
66.5 68.5 "Father" "Son"
66.5 68.5 "Father" "Son"
66.5 68.5 "Father" "Son"
66.5 68.5 "Father" "Son"
66.5 68.5 "Father" "Son"
66.5 68.5 "Father" "Son"
66.5 68.5 "Father" "Son"
66.5 68.5 "Father" "Son"
66.5 68.5 "Father" "Son"
66.5 68.5 "Father" "Son"
66.5 68.5 "Father" "Son"
66.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
67.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
68.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
69.5 68.5 "Father" "Son"
70.5 68.5 "Father" "Son"
70.5 68.5 "Father" "Son"
70.5 68.5 "Father" "Son"
70.5 68.5 "Father" "Son"
70.5 68.5 "Father" "Son"
70.5 68.5 "Father" "Son"
70.5 68.5 "Father" "Son"
70.5 68.5 "Father" "Son"
70.5 68.5 "Father" "Son"
70.5 68.5 "Father" "Son"
71.5 68.5 "Father" "Son"
71.5 68.5 "Father" "Son"
71.5 68.5 "Father" "Son"
71.5 68.5 "Father" "Son"
72.5 68.5 "Father" "Son"
72.5 68.5 "Father" "Son"
74.5 68.5 "Father" "Son"
62.5 69.5 "Father" "Son"
63.5 69.5 "Father" "Son"
63.5 69.5 "Father" "Son"
64.5 69.5 "Father" "Son"
64.5 69.5 "Father" "Son"
64.5 69.5 "Father" "Son"
64.5 69.5 "Father" "Son"
64.5 69.5 "Father" "Son"
64.5 69.5 "Father" "Son"
65.5 69.5 "Father" "Son"
65.5 69.5 "Father" "Son"
65.5 69.5 "Father" "Son"
65.5 69.5 "Father" "Son"
65.5 69.5 "Father" "Son"
65.5 69.5 "Father" "Son"
65.5 69.5 "Father" "Son"
65.5 69.5 "Father" "Son"
65.5 69.5 "Father" "Son"
65.5 69.5 "Father" "Son"
65.5 69.5 "Father" "Son"
65.5 69.5 "Father" "Son"
65.5 69.5 "Father" "Son"
65.5 69.5 "Father" "Son"
65.5 69.5 "Father" "Son"
65.5 69.5 "Father" "Son"
65.5 69.5 "Father" "Son"
65.5 69.5 "Father" "Son"
65.5 69.5 "Father" "Son"
66.5 69.5 "Father" "Son"
66.5 69.5 "Father" "Son"
66.5 69.5 "Father" "Son"
66.5 69.5 "Father" "Son"
66.5 69.5 "Father" "Son"
66.5 69.5 "Father" "Son"
66.5 69.5 "Father" "Son"
66.5 69.5 "Father" "Son"
66.5 69.5 "Father" "Son"
66.5 69.5 "Father" "Son"
66.5 69.5 "Father" "Son"
66.5 69.5 "Father" "Son"
67.5 69.5 "Father" "Son"
67.5 69.5 "Father" "Son"
67.5 69.5 "Father" "Son"
67.5 69.5 "Father" "Son"
67.5 69.5 "Father" "Son"
67.5 69.5 "Father" "Son"
67.5 69.5 "Father" "Son"
67.5 69.5 "Father" "Son"
67.5 69.5 "Father" "Son"
67.5 69.5 "Father" "Son"
67.5 69.5 "Father" "Son"
67.5 69.5 "Father" "Son"
67.5 69.5 "Father" "Son"
67.5 69.5 "Father" "Son"
67.5 69.5 "Father" "Son"
67.5 69.5 "Father" "Son"
67.5 69.5 "Father" "Son"
67.5 69.5 "Father" "Son"
67.5 69.5 "Father" "Son"
67.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
68.5 69.5 "Father" "Son"
69.5 69.5 "Father" "Son"
69.5 69.5 "Father" "Son"
69.5 69.5 "Father" "Son"
69.5 69.5 "Father" "Son"
69.5 69.5 "Father" "Son"
69.5 69.5 "Father" "Son"
69.5 69.5 "Father" "Son"
69.5 69.5 "Father" "Son"
69.5 69.5 "Father" "Son"
69.5 69.5 "Father" "Son"
69.5 69.5 "Father" "Son"
69.5 69.5 "Father" "Son"
69.5 69.5 "Father" "Son"
69.5 69.5 "Father" "Son"
69.5 69.5 "Father" "Son"
69.5 69.5 "Father" "Son"
69.5 69.5 "Father" "Son"
69.5 69.5 "Father" "Son"
69.5 69.5 "Father" "Son"
70.5 69.5 "Father" "Son"
70.5 69.5 "Father" "Son"
70.5 69.5 "Father" "Son"
70.5 69.5 "Father" "Son"
70.5 69.5 "Father" "Son"
70.5 69.5 "Father" "Son"
70.5 69.5 "Father" "Son"
70.5 69.5 "Father" "Son"
70.5 69.5 "Father" "Son"
70.5 69.5 "Father" "Son"
70.5 69.5 "Father" "Son"
70.5 69.5 "Father" "Son"
70.5 69.5 "Father" "Son"
70.5 69.5 "Father" "Son"
70.5 69.5 "Father" "Son"
71.5 69.5 "Father" "Son"
71.5 69.5 "Father" "Son"
71.5 69.5 "Father" "Son"
71.5 69.5 "Father" "Son"
71.5 69.5 "Father" "Son"
71.5 69.5 "Father" "Son"
72.5 69.5 "Father" "Son"
72.5 69.5 "Father" "Son"
72.5 69.5 "Father" "Son"
73.5 69.5 "Father" "Son"
73.5 69.5 "Father" "Son"
74.5 69.5 "Father" "Son"
63.5 70.5 "Father" "Son"
63.5 70.5 "Father" "Son"
63.5 70.5 "Father" "Son"
64.5 70.5 "Father" "Son"
64.5 70.5 "Father" "Son"
64.5 70.5 "Father" "Son"
64.5 70.5 "Father" "Son"
